Timestamp,Series_No,Product_No,class
Timestamp: 01/01/15 01:01:01,XK00001402,5859,Failure
Timestamp: 01/01/15 01:03:55,XK00001402,6212,Failure
Timestamp: 01/01/15 01:04:57,XK00001402,7079,Failure
Timestamp: 01/01/15 01:05:58,XK00001402,61,OK
Timestamp: 01/01/15 01:06:15,XK00001402,229,OK
Timestamp: 01/01/15 01:10:04,XK00001402,8004,Failure
Timestamp: 01/01/15 01:11:14,XK00001402,5874,Failure
Timestamp: 01/01/15 01:16:01,XK00001402,4172,OK
Timestamp: 01/01/15 01:18:09,XK00001402,8021,Failure
Timestamp: 01/02/15 01:22:05,XK00001402,6606,Failure
Timestamp: 01/03/15 01:24:55,XK00001402,3528,OK
Timestamp: 01/03/15 01:27:21,XK00001402,1768,OK
Timestamp: 01/03/15 01:31:45,XK00001402,9387,Failure
Timestamp: 01/03/15 01:36:18,XK00001402,790,OK
Timestamp: 01/04/15 01:38:57,XK00001402,3917,OK
Timestamp: 01/04/15 01:39:15,XK00001402,2847,OK
Timestamp: 01/04/15 01:45:07,XK00001402,549,OK
Timestamp: 01/05/15 01:47:52,XK00001402,1868,OK
Timestamp: 01/06/15 01:52:34,XK00001402,50,OK
Timestamp: 01/07/15 01:58:20,XK00001402,2954,OK
Timestamp: 01/08/15 01:59:17,XK00001402,5155,Failure
Timestamp: 01/08/15 02:04:23,XK00001402,7171,Failure
Timestamp: 01/08/15 02:09:55,XK00001402,6224,Failure
Timestamp: 01/08/15 02:10:01,XK00001402,6166,Failure
Timestamp: 01/09/15 02:13:01,XK00001402,3039,OK
Timestamp: 01/09/15 02:17:06,XK00001402,1567,OK
Timestamp: 01/09/15 02:21:35,XK00001402,1820,OK
Timestamp: 01/09/15 02:22:24,XK00001402,484,OK
Timestamp: 01/10/15 02:27:25,WK00001576,3342,OK
Timestamp: 01/10/15 02:32:43,WK00001576,1265,OK
Timestamp: 01/11/15 02:33:46,WK00001576,1179,OK
Timestamp: 01/11/15 02:36:13,WK00001576,6457,Failure
Timestamp: 01/11/15 02:39:49,WK00001576,3026,OK
Timestamp: 01/11/15 02:41:50,WK00001576,3536,OK
Timestamp: 01/11/15 02:43:31,WK00001576,7963,Failure
Timestamp: 01/11/15 02:44:47,WK00001576,975,OK
Timestamp: 01/11/15 02:50:24,WK00001576,683,OK
Timestamp: 01/11/15 02:50:31,WK00001576,2674,OK
Timestamp: 01/11/15 02:55:06,WK00001576,7199,Failure
Timestamp: 01/11/15 02:55:49,WK00001576,3895,OK
Timestamp: 01/11/15 03:01:22,WK00001576,2683,OK
Timestamp: 01/11/15 03:06:38,WK00001576,120,OK
Timestamp: 01/12/15 03:09:44,WK00001576,8077,Failure
Timestamp: 01/12/15 03:13:58,WK00001576,3033,OK
Timestamp: 01/12/15 03:16:11,WK00001576,5573,Failure
Timestamp: 01/12/15 03:20:06,WK00001576,5474,Failure
Timestamp: 01/12/15 03:20:57,WK00001576,814,OK
Timestamp: 01/12/15 03:24:24,WK00001576,2417,OK
Timestamp: 01/13/15 03:27:41,WK00001576,2685,OK
Timestamp: 01/13/15 03:33:24,WK00001576,1313,OK
Timestamp: 01/13/15 03:34:45,WK00001576,3861,OK
Timestamp: 01/13/15 03:39:30,WK00001576,5128,Failure
Timestamp: 01/13/15 03:40:37,WK00001576,6364,Failure
Timestamp: 01/13/15 03:41:05,WK00001576,4222,OK
Timestamp: 01/13/15 03:43:37,WK00001576,7978,Failure
Timestamp: 01/13/15 03:45:29,WK00001576,5921,Failure
Timestamp: 01/13/15 03:48:35,WK00001576,1104,OK
Timestamp: 01/14/15 03:49:45,WK00001576,4179,OK
Timestamp: 01/14/15 03:51:34,WK00001576,3099,OK
Timestamp: 01/14/15 03:54:46,WK00001576,1734,OK
Timestamp: 01/14/15 03:55:48,WK00001576,6111,Failure
Timestamp: 01/14/15 04:01:08,WK00001576,1819,OK
Timestamp: 01/14/15 04:04:46,WK00001576,6147,Failure
Timestamp: 01/14/15 04:07:25,WK00001576,73,OK
Timestamp: 01/14/15 04:08:25,WK00001576,335,OK
Timestamp: 01/14/15 04:13:17,WK00001576,5335,Failure
Timestamp: 01/14/15 04:13:58,WK00001576,6798,Failure
Timestamp: 01/14/15 04:16:20,WK00001576,1528,OK
Timestamp: 01/14/15 04:21:19,WK00001576,2105,OK
Timestamp: 01/15/15 04:24:20,WK00001576,6274,Failure
Timestamp: 01/15/15 04:26:37,WK00001576,1852,OK
Timestamp: 01/15/15 04:27:35,YZ00001723,8913,Failure
Timestamp: 01/16/15 04:33:06,YZ00001723,4667,OK
Timestamp: 01/16/15 04:36:47,YZ00001723,9171,Failure
Timestamp: 01/16/15 04:38:09,YZ00001723,4787,OK
Timestamp: 01/16/15 04:39:39,YZ00001723,8725,Failure
Timestamp: 01/16/15 04:42:08,YZ00001723,8686,Failure
Timestamp: 01/17/15 04:45:39,YZ00001723,8518,Failure
Timestamp: 01/17/15 04:51:30,YZ00001723,7610,Failure
Timestamp: 01/17/15 04:52:03,YZ00001723,7888,Failure
Timestamp: 01/17/15 04:54:34,YZ00001723,9457,Failure
Timestamp: 01/17/15 04:56:37,YZ00001723,7566,Failure
Timestamp: 01/17/15 04:57:33,YZ00001723,4533,OK
Timestamp: 01/18/15 05:02:56,YZ00001723,9521,Failure
Timestamp: 01/18/15 05:08:37,YZ00001723,8258,Failure
Timestamp: 01/18/15 05:12:44,YZ00001723,4984,OK
Timestamp: 01/18/15 05:16:02,YZ00001723,4339,OK
Timestamp: 01/18/15 05:20:09,YZ00001723,9584,Failure
Timestamp: 01/18/15 05:25:43,YZ00001723,8735,Failure
Timestamp: 01/18/15 05:25:46,YZ00001723,8748,Failure
Timestamp: 01/18/15 05:28:42,YZ00001723,3615,OK
Timestamp: 01/19/15 05:29:09,YZ00001723,9076,Failure
Timestamp: 01/19/15 05:30:47,YZ00001723,8514,Failure
Timestamp: 01/19/15 05:31:55,YZ00001723,7454,Failure
Timestamp: 01/19/15 05:37:51,YZ00001723,8932,Failure
Timestamp: 01/19/15 05:41:52,YZ00001723,7686,Failure
Timestamp: 01/19/15 05:42:26,YZ00001723,9811,Failure
Timestamp: 01/19/15 05:45:43,YZ00001723,7896,Failure
Timestamp: 01/19/15 05:48:44,YZ00001723,7230,Failure
Timestamp: 01/20/15 05:54:18,YZ00001723,8927,Failure
Timestamp: 01/20/15 05:59:49,YZ00001723,7602,Failure
Timestamp: 01/20/15 06:03:44,YZ00001723,9939,Failure
Timestamp: 01/21/15 06:05:18,YZ00001723,9702,Failure
Timestamp: 01/22/15 06:06:21,YZ00001723,7227,Failure
Timestamp: 01/22/15 06:07:07,YZ00001723,8437,Failure
Timestamp: 01/22/15 06:07:33,YZ00001723,8910,Failure
Timestamp: 01/22/15 06:10:53,YZ00001723,7401,Failure
Timestamp: 01/23/15 06:13:16,YZ00001723,9311,Failure
Timestamp: 01/23/15 06:17:51,YZ00001723,2750,OK
Timestamp: 01/23/15 06:19:32,YZ00001723,7383,Failure
Timestamp: 01/23/15 06:24:18,YZ00001723,3671,OK
Timestamp: 01/23/15 06:26:18,YZ00001723,3693,OK
Timestamp: 01/23/15 06:31:43,XK00001402,3075,OK
Timestamp: 01/23/15 06:36:08,XK00001402,7089,Failure
Timestamp: 01/23/15 06:36:33,XK00001402,1696,OK
