#;Position;FIFA Popular Name;Height;Weight
1;GK;NEUER Manuel;193;93
2;DF;PLATTENHARDT Marvin;181;76
3;DF;HECTOR Jonas;185;75
4;DF;GINTER Matthias;189;85
5;DF;HUMMELS Mats;192;90
6;DF;KHEDIRA Sami;189;81
7;MF;DRAXLER Julian;185;74
8;MF;KROOS Toni;182;78
9;FW;WERNER Timo;181;75
10;MF;OEZIL Mesut;180;70
11;FW;REUS Marco;180;67
12;GK;TRAPP Kevin;189;88
13;MF;MUELLER Thomas;186;75
14;MF;GORETZKA Leon;189;76
15;DF;SUELE Niklas;195;89
16;DF;RUEDIGER Antonio;191;85
17;DF;BOATENG Jerome;192;90
18;DF;KIMMICH Joshua;176;72
19;MF;RUDY Sebastian;179;74
20;MF;BRANDT Julian;183;82
21;MF;GUENDOGAN Ilkay;180;79
22;GK;TER STEGEN Marc-Andre;187;85
23;FW;GOMEZ Mario;189;82
